PERIOD,DIVISION_NAME,DEPT_GROUP_NAME,SALE_AMT,SALE_QTY,SALE_AMT_LY,SALE_QTY_LY
202605,02 HOME LINE,0220 HOME DECOR,231613.96,1072.0,273365.38,1393.0
202603,05 FRESH FOOD,0510 BUTCHERY,1572020.77,15895.78,1692159.12,18008.72
202601,04 DRY FOOD,0440 BEVERAGE,3210.28,76.0,3961.69,88.0
202604,03 SOFT LINE,0380 CHILDREN,252576.63,2423.0,331906.61,3056.0
202607,01 HARD LINE,0110 SMALL APPLIANCE,19462.62,29.0,15157.01,26.0
202607,04 DRY FOOD,0440 BEVERAGE,45727.61,835.0,55120.84,1086.0
202605,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,118.69,4.0,525.23,16.0
202602,03 SOFT LINE,0322 MEN ESSENTIAL,42930.88,295.0,47269.18,358.0
202603,05 FRESH FOOD,0560 PERISHABLE,6272.89,171.0,6538.32,219.0
202605,05 FRESH FOOD,0560 PERISHABLE,1067624.35,18347.0,939231.12,17285.0
202605,04 DRY FOOD,0496 SPECIAL PROJECT,2508.64,18.0,0.0,0.0
202601,04 DRY FOOD,0420 SWEETED GROCE.2,23675.7,521.0,16931.32,348.0
202602,04 DRY FOOD,0450 LIQUOR,586814.97,2595.0,1035519.89,2455.0
202606,03 SOFT LINE,0312 LADIES ACCESSORIES,20542.99,293.0,30563.55,230.0
202606,04 DRY FOOD,0472 PAPER,462707.48,5373.0,603379.38,6809.0
202607,04 DRY FOOD,0430 SALTED GROCERY,0.0,0.0,364.95,3.0
202606,05 FRESH FOOD,0570 FROZEN,149724.81,2644.0,171871.75,3383.0
202606,03 SOFT LINE,0314 LADIES ESSENTIAL,111162.65,877.0,122696.25,815.0
202602,06 PHARMACY,0630 WELL BEING,238.32,2.0,3829.9,16.0
202605,04 DRY FOOD,0461 FACE & COSMETICS,312812.03,4107.0,291494.24,3811.0
202602,01 HARD LINE,0110 SMALL APPLIANCE,664154.51,1009.0,617010.27,840.0
202606,04 DRY FOOD,0420 SWEETED GROCE.2,817380.27,25162.0,953332.89,29279.0
202603,03 SOFT LINE,0350 FOOTWEAR,211284.06,1166.0,255301.45,1606.0
202603,02 HOME LINE,0240 HOME IMPROVEMEN,137260.72,1349.0,161711.19,1444.0
202604,02 HOME LINE,0290 PACKAGING,31492.52,3723.0,32328.04,4172.0
202604,05 FRESH FOOD,0530 PRODUCE,0.0,0.0,0.0,0.0
202605,04 DRY FOOD,0442 BEVERAGE_SME,510.28,54.0,4923.37,136.0
202601,04 DRY FOOD,0430 SALTED GROCERY,2326974.52,50113.0,2591428.83,51580.0
202602,05 FRESH FOOD,0550 BAKERY,194261.69,8621.0,144384.06,7346.0
202605,04 DRY FOOD,0470 HOUSEHOLD,1267881.76,19747.0,1286908.68,20488.0
202605,01 HARD LINE,0112 MAJOR APPLIANCE,563388.79,93.0,492097.2,76.0
202602,04 DRY FOOD,0440 BEVERAGE,2098822.24,32783.0,3604097.9,36412.0
202605,04 DRY FOOD,0460 HBA,652.34,4.0,1254.21,9.0
202601,04 DRY FOOD,0472 PAPER,569237.32,6393.0,678425.23,6847.0
202603,02 HOME LINE,0210 HOUSEWARE,585627.98,9269.0,568949.75,7147.0
202604,04 DRY FOOD,0480 PETS,147270.74,2634.0,174005.48,3054.0
202601,04 DRY FOOD,0470 HOUSEHOLD,2547.67,26.0,1649.53,17.0
202602,02 HOME LINE,0220 HOME DECOR,157470.99,694.0,189593.44,777.0
202602,05 FRESH FOOD,0540 DELICATESSEN,1404.67,68.0,867.3,38.0
202603,03 SOFT LINE,0314 LADIES ESSENTIAL,139971.33,976.0,146191.08,1037.0
202604,04 DRY FOOD,0430 SALTED GROCERY,3497.2,45.0,7422.43,67.0
202603,05 FRESH FOOD,0570 FROZEN,184476.42,3470.0,208847.38,3970.0
202604,03 SOFT LINE,0312 LADIES ACCESSORIES,33327.1,196.0,38268.21,308.0
202606,01 HARD LINE,0120 HOME ENTERTAIN,299640.2,90.0,326783.4,100.0
202603,06 PHARMACY,0610 PRESCRIPTION,0.0,0.0,0.0,0.0
202603,04 DRY FOOD,0410 SWEETED GROCE.1,1554868.38,9689.0,2005475.38,9674.0
202607,04 DRY FOOD,0430 SALTED GROCERY,63257.21,1300.0,84023.29,1624.0
202605,03 SOFT LINE,0310 LADIES APPAREL,110907.47,337.0,38805.59,225.0
202604,02 HOME LINE,0230 RECREATION,222798.11,1493.0,231841.1,1322.0
202603,03 SOFT LINE,0370 PERSONAL CARE,21442.99,458.0,26859.83,493.0
202603,03 SOFT LINE,0340 BABY ACCESSORIES,43785.52,459.0,54807.48,538.0
202606,04 DRY FOOD,0460 HBA,1515203.3,18924.0,1745301.08,20924.0
202606,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,1166.36,13.0,269.16,1.0
202603,03 SOFT LINE,0322 MEN ESSENTIAL,35538.34,268.0,63020.57,569.0
202601,05 FRESH FOOD,0530 PRODUCE,511537.6,13448.79,579426.3,12114.3
202604,05 FRESH FOOD,0560 PERISHABLE,5335.51,136.0,5530.85,161.0
202606,05 FRESH FOOD,0560 PERISHABLE,902060.74,15691.0,846669.51,15859.0
202605,03 SOFT LINE,0380 CHILDREN,383421.1,4381.0,388194.6,4276.0
202605,02 HOME LINE,0230 RECREATION,161068.24,803.0,175999.02,793.0
202604,03 SOFT LINE,0370 PERSONAL CARE,26230.85,521.0,17491.6,375.0
202604,03 SOFT LINE,0340 BABY ACCESSORIES,49086.0,468.0,59539.26,575.0
202607,04 DRY FOOD,0460 HBA,60600.94,782.0,55574.76,704.0
202604,06 PHARMACY,0610 PRESCRIPTION,0.0,0.0,0.0,0.0
202604,04 DRY FOOD,0410 SWEETED GROCE.1,1205341.5,7847.0,1659361.26,9554.0
202606,03 SOFT LINE,0310 LADIES APPAREL,84935.5,234.0,37706.52,189.0
202605,01 HARD LINE,0110 SMALL APPLIANCE,738763.29,1107.0,656893.85,910.0
202605,04 DRY FOOD,0440 BEVERAGE,2452672.83,39941.0,2275625.96,37071.0
202603,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,737.38,3.0,471.96,18.0
202601,05 FRESH FOOD,0560 PERISHABLE,6360.76,190.0,7184.12,220.0
202603,05 FRESH FOOD,0560 PERISHABLE,935253.69,16331.0,1058244.94,18958.0
202606,03 SOFT LINE,0350 FOOTWEAR,205813.01,1141.0,223711.16,1228.0
202607,02 HOME LINE,0290 PACKAGING,958.88,107.0,906.54,110.0
202607,04 DRY FOOD,0450 LIQUOR,16136.45,80.0,21865.42,85.0
202602,05 FRESH FOOD,0520 SEAFOOD,306462.77,1845.36,238281.84,2211.09
202605,05 FRESH FOOD,0530 PRODUCE,731486.34,15476.5,404417.89,11037.82
202602,02 HOME LINE,0250 STATIONERY & EDUTAINMENT,150533.62,2631.0,318082.84,3152.0
202605,04 DRY FOOD,0422 SWEETED GROCE.2_SME,3366.36,116.0,4057.01,192.0
202607,01 HARD LINE,0120 HOME ENTERTAIN,13407.48,5.0,29772.9,8.0
202604,03 SOFT LINE,0314 LADIES ESSENTIAL,140640.24,875.0,133546.75,971.0
202605,04 DRY FOOD,0430 SALTED GROCERY,4325.23,35.0,6114.02,55.0
202604,05 FRESH FOOD,0570 FROZEN,196343.45,3821.0,226980.86,4642.0
202603,04 DRY FOOD,0450 LIQUOR,1485509.83,4344.0,1902070.13,3050.0
202601,04 DRY FOOD,0432 SALTED GROCERY_SME,4750.45,161.0,7171.96,227.0
202607,03 SOFT LINE,0312 LADIES ACCESSORIES,700.94,109.0,957.01,10.0
202607,04 DRY FOOD,0472 PAPER,13369.16,152.0,15486.92,204.0
202601,04 DRY FOOD,0422 SWEETED GROCE.2_SME,4501.87,143.0,4197.19,170.0
202602,04 DRY FOOD,0420 SWEETED GROCE.2,12213.1,259.0,11208.88,232.0
202602,04 DRY FOOD,0412 SWEETED GROCE.1_SME,0.0,0.0,23.36,1.0
202604,05 FRESH FOOD,0550 BAKERY,218908.42,10358.0,176748.6,8349.0
202606,05 FRESH FOOD,0530 PRODUCE,0.0,0.0,0.0,0.0
202607,04 DRY FOOD,0442 BEVERAGE_SME,0.0,0.0,0.0,0.0
202603,04 DRY FOOD,0430 SALTED GROCERY,3203330.42,64483.0,2791010.25,53104.0
202601,03 SOFT LINE,0310 LADIES APPAREL,53485.03,205.0,50431.76,284.0
202603,04 DRY FOOD,0472 PAPER,600706.28,6806.0,656290.64,6960.0
202602,04 DRY FOOD,0496 SPECIAL PROJECT,7843.93,7.0,4139.66,14.0
202605,02 HOME LINE,0210 HOUSEWARE,604960.67,7596.0,616000.46,7733.0
202606,04 DRY FOOD,0480 PETS,129105.63,2206.0,166831.69,2985.0
202607,04 DRY FOOD,0470 HOUSEHOLD,37012.62,540.0,43301.86,743.0
202601,03 SOFT LINE,0380 CHILDREN,74342.05,723.0,158817.78,1243.0
202607,01 HARD LINE,0112 MAJOR APPLIANCE,0.0,0.0,9330.84,2.0
202607,04 DRY FOOD,0460 HBA,0.0,0.0,0.0,0.0
202604,04 DRY FOOD,0430 SALTED GROCERY,2320694.22,48698.0,2501130.53,49680.0
